condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards,accuracy,response_length
backtracking_verification,180,3.66,3.05,0.02,0.03,732,610,4,6,0.7275390625,420.54296875
backtracking_verification,190,3.485,3.49,0.035,0.025,697,698,7,5,0.740234375,419.703125
backtracking_verification,200,3.1,2.84,0.02,0.035,620,568,4,7,0.7236328125,431.787109375
backtracking_verification,210,3.975,3.52,0.0,0.05,795,704,0,10,0.7236328125,423.5791015625
backtracking_verification,220,4.02,3.06,0.03,0.045,804,612,6,9,0.7421875,416.9443359375
backtracking_verification,230,3.625,2.885,0.0,0.02,725,577,0,4,0.7099609375,430.9111328125
backtracking_verification,240,3.02,3.205,0.015,0.0,604,641,3,0,0.720703125,431.4755859375
backtracking_verification,250,3.805,3.57,0.015,0.02,761,714,3,4,0.72265625,434.75
no_positive_all_strategies,0,1.85,2.55,3.51,1.71,370,510,702,342,0.33203125,387.3095703125
no_positive_all_strategies,10,2.14,3.84,3.085,1.02,428,768,617,204,0.4765625,415.1181640625
no_positive_all_strategies,20,2.62,3.79,1.845,0.9,524,758,369,180,0.5625,467.044921875
no_positive_all_strategies,30,2.975,4.525,1.415,0.65,595,905,283,130,0.6171875,473.14453125
no_positive_all_strategies,40,2.72,4.81,1.05,0.97,544,962,210,194,0.66015625,463.3349609375
no_positive_all_strategies,50,2.955,4.18,0.575,0.46,591,836,115,92,0.6728515625,434.8505859375
no_positive_all_strategies,60,2.4,3.615,0.93,0.185,480,723,186,37,0.6806640625,404.017578125
no_positive_all_strategies,70,2.63,3.345,0.475,0.04,526,669,95,8,0.6982421875,373.470703125
no_positive_all_strategies,80,2.965,3.885,0.305,0.1,593,777,61,20,0.7119140625,369.6826171875
no_positive_all_strategies,90,2.285,3.19,0.21,0.065,457,638,42,13,0.720703125,350.34375
no_positive_all_strategies,100,2.845,4.11,0.28,0.05,569,822,56,10,0.728515625,346.94921875
no_positive_all_strategies,110,2.565,3.81,0.255,0.07,513,762,51,14,0.728515625,357.0693359375
no_positive_all_strategies,120,2.575,3.98,0.23,0.03,515,796,46,6,0.7294921875,370.8720703125
no_positive_all_strategies,130,2.1,3.365,0.175,0.015,420,673,35,3,0.7353515625,353.419921875
no_positive_all_strategies,140,1.95,3.985,0.305,0.015,390,797,61,3,0.7373046875,350.08203125
no_positive_all_strategies,150,2.04,3.81,0.35,0.03,408,762,70,6,0.7333984375,350.33984375
no_positive_all_strategies,160,1.8,3.685,0.265,0.03,360,737,53,6,0.732421875,353.7861328125
no_positive_all_strategies,170,2.28,3.65,0.265,0.045,456,730,53,9,0.740234375,358.5927734375
no_positive_all_strategies,180,1.76,3.04,0.195,0.0,352,608,39,0,0.7138671875,344.3916015625
no_positive_all_strategies,190,1.69,3.63,0.29,0.0,338,726,58,0,0.728515625,360.4755859375
no_positive_all_strategies,200,2.015,3.79,0.315,0.02,403,758,63,4,0.734375,360.8759765625
no_positive_all_strategies,210,2.12,4.18,0.21,0.06,424,836,42,12,0.7275390625,353.4736328125
no_positive_all_strategies,220,1.985,4.035,0.305,0.01,397,807,61,2,0.748046875,358.1376953125
no_positive_all_strategies,230,2.025,4.39,0.385,0.055,405,878,77,11,0.7451171875,368.158203125
no_positive_all_strategies,240,2.0,4.13,0.195,0.0,400,826,39,0,0.75,361.9833984375
no_positive_all_strategies,250,2.41,4.24,0.285,0.02,482,848,57,4,0.74609375,360.3173828125
all_strategies,0,0.1865234375,2.259765625,0.962890625,2.0224609375,191,2314,986,2071,0.2919921875,203.0537109375
all_strategies,10,2.195,3.35,3.045,1.555,439,670,609,311,0.5263671875,452.875
all_strategies,20,2.745,4.22,2.68,1.72,549,844,536,344,0.5849609375,516.5087890625
all_strategies,30,2.805,4.435,1.93,1.225,561,887,386,245,0.6201171875,525.3583984375
all_strategies,40,3.235,3.925,1.51,0.865,647,785,302,173,0.669921875,506.96875
all_strategies,50,3.295,3.815,0.855,0.785,659,763,171,157,0.673828125,455.67578125
all_strategies,60,3.605,3.88,1.015,0.49,721,776,203,98,0.703125,438.626953125
all_strategies,70,3.355,3.68,0.875,0.265,671,736,175,53,0.7158203125,418.4580078125
all_strategies,80,3.35,3.995,0.51,0.145,670,799,102,29,0.7236328125,396.2275390625
all_strategies,90,4.015,3.855,0.38,0.215,803,771,76,43,0.7314453125,394.048828125
all_strategies,100,3.25,3.06,0.41,0.07,650,612,82,14,0.744140625,393.6552734375
all_strategies,110,3.65,3.085,0.685,0.085,730,617,137,17,0.7431640625,393.11328125
all_strategies,120,3.64,3.675,0.43,0.075,728,735,86,15,0.748046875,372.546875
all_strategies,130,3.035,3.4,0.34,0.025,607,680,68,5,0.7490234375,379.9111328125
all_strategies,140,2.95,3.495,0.24,0.02,590,699,48,4,0.7607421875,375.43359375
all_strategies,150,3.9,4.125,0.28,0.055,780,825,56,11,0.755859375,379.14453125
all_strategies,160,3.46,3.54,0.38,0.06,692,708,76,12,0.7490234375,378.822265625
all_strategies,170,2.995,4.07,0.275,0.005,599,814,55,1,0.7509765625,376.240234375
all_strategies,180,2.95,3.24,0.305,0.07,590,648,61,14,0.751953125,403.66796875
all_strategies,190,3.125,3.775,0.245,0.02,625,755,49,4,0.7529296875,391.34765625
all_strategies,200,3.05,3.37,0.34,0.055,610,674,68,11,0.7568359375,392.642578125
all_strategies,210,3.215,3.42,0.21,0.13,643,684,42,26,0.7490234375,383.54296875
all_strategies,220,3.555,3.73,0.26,0.02,711,746,52,4,0.755859375,398.83984375
all_strategies,230,2.865,3.38,0.38,0.04,573,676,76,8,0.76953125,391.2705078125
all_strategies,240,3.13,3.805,0.305,0.055,626,761,61,11,0.76171875,388.8212890625
all_strategies,250,3.13,3.265,0.355,0.045,626,653,71,9,0.7734375,381.333984375
empty_cot,0,0.0,0.0,0.0,0.0,0,0,0,0,0.048828125,25.6298828125
empty_cot,10,0.0,0.0,0.0,0.005,0,0,0,1,0.2607421875,26.9658203125
empty_cot,20,0.0,0.0,0.0,0.005,0,0,0,1,0.33203125,26.0625
empty_cot,30,0.0,0.0,0.0,0.005,0,0,0,1,0.3310546875,31.29296875
empty_cot,40,0.0,0.0,0.0,0.0,0,0,0,0,0.3505859375,26.08984375
empty_cot,50,0.0,0.0,0.0,0.005,0,0,0,1,0.353515625,25.03125
empty_cot,60,0.0,0.0,0.0,0.01,0,0,0,2,0.349609375,24.7109375
empty_cot,70,0.0,0.0,0.0,0.0,0,0,0,0,0.3525390625,24.404296875
empty_cot,80,0.0,0.0,0.0,0.005,0,0,0,1,0.3330078125,24.2373046875
empty_cot,90,0.0,0.0,0.0,0.005,0,0,0,1,0.34765625,24.1279296875
empty_cot,100,0.0,0.0,0.0,0.01,0,0,0,2,0.34765625,24.10546875
empty_cot,110,0.0,0.0,0.0,0.0,0,0,0,0,0.3505859375,24.1494140625
empty_cot,120,0.0,0.0,0.0,0.03,0,0,0,6,0.3701171875,24.138671875
empty_cot,130,0.0,0.0,0.0,0.0,0,0,0,0,0.3828125,24.2841796875
empty_cot,140,0.0,0.0,0.0,0.01,0,0,0,2,0.3701171875,24.548828125
empty_cot,150,0.0,0.0,0.0,0.0,0,0,0,0,0.3740234375,24.537109375
empty_cot,160,0.0,0.0,0.0,0.0,0,0,0,0,0.37109375,24.4072265625
empty_cot,170,0.0,0.0,0.0,0.005,0,0,0,1,0.37109375,24.685546875
empty_cot,180,0.0,0.0,0.0,0.015,0,0,0,3,0.390625,25.0048828125
empty_cot,190,0.0,0.0,0.0,0.0,0,0,0,0,0.400390625,24.150390625
empty_cot,200,0.0,0.0,0.0,0.02,0,0,0,4,0.396484375,24.12109375
empty_cot,210,0.0,0.0,0.0,0.01,0,0,0,2,0.392578125,24.1240234375
empty_cot,220,0.0,0.0,0.0,0.02,0,0,0,4,0.4033203125,24.1015625
empty_cot,230,0.0,0.0,0.0,0.01,0,0,0,2,0.4072265625,24.078125
empty_cot,240,0.0,0.0,0.0,0.01,0,0,0,2,0.4033203125,24.109375
empty_cot,250,0.0,0.0,0.0,0.005,0,0,0,1,0.4052734375,24.087890625
dots,0,0.0,0.0,0.0,0.005,0,0,0,1,0.130859375,357.6240234375
dots,10,0.0,0.0,0.0,0.0,0,0,0,0,0.2783203125,294.904296875
dots,20,0.0,0.0,0.0,0.005,0,0,0,1,0.330078125,289.9833984375
dots,30,0.0,0.0,0.0,0.005,0,0,0,1,0.318359375,237.3076171875
dots,40,0.0,0.0,0.0,0.005,0,0,0,1,0.3359375,238.177734375
dots,50,0.0,0.0,0.0,0.0,0,0,0,0,0.341796875,277.490234375
dots,60,0.0,0.0,0.0,0.005,0,0,0,1,0.3515625,233.5400390625
dots,70,0.0,0.0,0.0,0.0,0,0,0,0,0.357421875,215.6162109375
dots,80,0.0,0.0,0.0,0.005,0,0,0,1,0.3359375,227.4736328125
dots,90,0.0,0.0,0.0,0.005,0,0,0,1,0.3564453125,202.9404296875
dots,100,0.005,0.0,0.0,0.015,1,0,0,3,0.3544921875,201.3095703125
dots,110,0.0,0.0,0.0,0.015,0,0,0,3,0.3466796875,208.3369140625
dots,120,0.0,0.0,0.0,0.0,0,0,0,0,0.3544921875,193.4560546875
dots,130,0.0,0.0,0.0,0.01,0,0,0,2,0.353515625,204.4482421875
dots,140,0.0,0.0,0.0,0.01,0,0,0,2,0.3701171875,200.36328125
dots,150,0.005,0.0,0.0,0.005,1,0,0,1,0.357421875,246.359375
dots,160,0.0,0.0,0.0,0.01,0,0,0,2,0.3095703125,243.80078125
dots,170,0.005,0.0,0.0,0.005,1,0,0,1,0.31640625,248.412109375
dots,180,0.0,0.0,0.0,0.015,0,0,0,3,0.2919921875,233.73046875
dots,190,0.0,0.0,0.0,0.005,0,0,0,1,0.2919921875,232.3798828125
dots,200,0.0,0.0,0.0,0.005,0,0,0,1,0.3095703125,227.837890625
dots,210,0.0,0.0,0.0,0.0,0,0,0,0,0.3291015625,213.3515625
dots,220,0.0,0.0,0.0,0.0,0,0,0,0,0.3271484375,236.3466796875
dots,230,0.0,0.0,0.0,0.0,0,0,0,0,0.3359375,212.0419921875
dots,240,0.0,0.0,0.0,0.0,0,0,0,0,0.330078125,187.8837890625
dots,250,0.0,0.0,0.0,0.0,0,0,0,0,0.3271484375,182.7490234375
human_cot,0,0.145,1.57,0.0,0.0,29,314,0,0,0.0087890625,216.912109375
human_cot,10,0.09,0.39,0.01,0.015,18,78,2,3,0.0986328125,94.2294921875
human_cot,20,0.755,1.87,0.0,0.085,151,374,0,17,0.3505859375,289.1376953125
human_cot,30,0.72,1.455,0.0,0.025,144,291,0,5,0.44140625,337.1904296875
human_cot,40,0.99,1.64,0.0,0.12,198,328,0,24,0.494140625,328.2412109375
human_cot,50,0.935,1.59,0.0,0.08,187,318,0,16,0.50390625,294.1376953125
human_cot,60,1.175,1.27,0.005,0.035,235,254,1,7,0.5224609375,302.5810546875
human_cot,70,1.33,1.165,0.01,0.02,266,233,2,4,0.52734375,269.87890625
human_cot,100,2.595,0.61,0.01,0.03,519,122,2,6,0.548828125,264.8193359375
human_cot,110,2.17,0.96,0.01,0.045,434,192,2,9,0.546875,251.8369140625
human_cot,120,1.66,1.035,0.0,0.045,332,207,0,9,0.556640625,229.0048828125
human_cot,130,1.505,0.67,0.0,0.05,301,134,0,10,0.55078125,225.1591796875
human_cot,140,1.445,0.47,0.0,0.03,289,94,0,6,0.55078125,208.5712890625
human_cot,150,1.7,0.775,0.0,0.025,340,155,0,5,0.556640625,225.310546875
human_cot,160,2.165,0.635,0.04,0.05,433,127,8,10,0.5546875,213.607421875
human_cot,170,2.09,0.715,0.0,0.02,418,143,0,4,0.552734375,218.498046875
human_cot,180,2.92,0.835,0.0,0.015,584,167,0,3,0.548828125,232.294921875
human_cot,190,2.875,0.62,0.0,0.02,575,124,0,4,0.55078125,217.982421875
human_cot,200,2.87,0.585,0.0,0.03,574,117,0,6,0.5595703125,217.771484375
human_cot,210,3.06,0.475,0.015,0.025,612,95,3,5,0.564453125,240.5576171875
human_cot,220,2.745,0.59,0.0,0.065,549,118,0,13,0.5634765625,227.9345703125
human_cot,230,3.045,0.645,0.0,0.04,609,129,0,8,0.548828125,222.166015625
human_cot,240,3.455,0.545,0.0,0.005,691,109,0,1,0.56640625,226.203125
human_cot,250,3.84,1.015,0.015,0.005,768,203,3,1,0.5556640625,229.638671875
backtracking_subgoal,0,0.0771484375,2.9658203125,3.78125,0.021484375,79,3037,3872,22,0.1865234375,595.5283203125
backtracking_subgoal,10,0.445,4.195,4.185,0.005,89,839,837,1,0.466796875,353.4501953125
backtracking_subgoal,20,0.53,5.355,4.525,0.04,106,1071,905,8,0.568359375,451.0205078125
backtracking_subgoal,30,0.495,4.69,4.14,0.095,99,938,828,19,0.615234375,428.7138671875
backtracking_subgoal,40,0.46,4.55,3.675,0.09,92,910,735,18,0.62890625,424.5068359375
backtracking_subgoal,50,0.435,4.66,3.22,0.05,87,932,644,10,0.65234375,412.1279296875
backtracking_subgoal,60,0.4,4.43,3.325,0.035,80,886,665,7,0.6611328125,395.8408203125
backtracking_subgoal,70,0.44,4.635,3.865,0.05,88,927,773,10,0.6748046875,391.322265625
backtracking_subgoal,80,0.415,4.495,3.45,0.14,83,899,690,28,0.6943359375,375.056640625
backtracking_subgoal,90,0.475,4.23,3.505,0.065,95,846,701,13,0.693359375,374.884765625
backtracking_subgoal,100,0.44,3.87,3.245,0.025,88,774,649,5,0.6865234375,363.177734375
backtracking_subgoal,110,0.48,4.25,2.57,0.11,96,850,514,22,0.6875,349.685546875
backtracking_subgoal,120,0.465,3.99,2.69,0.095,93,798,538,19,0.689453125,362.9580078125
backtracking_subgoal,130,0.5,4.23,2.635,0.125,100,846,527,25,0.697265625,346.724609375
backtracking_subgoal,140,0.51,4.15,2.48,0.05,102,830,496,10,0.6982421875,360.18359375
backtracking_subgoal,150,0.46,3.845,2.57,0.08,92,769,514,16,0.7001953125,363.96875
backtracking_subgoal,160,0.485,3.95,2.47,0.085,97,790,494,17,0.69921875,354.7568359375
backtracking_subgoal,170,0.505,3.66,2.52,0.105,101,732,504,21,0.6943359375,342.8310546875
backtracking_subgoal,180,0.46,4.1,2.53,0.165,92,820,506,33,0.705078125,364.6767578125
backtracking_subgoal,190,0.36,4.035,2.665,0.08,72,807,533,16,0.7060546875,333.7099609375
backtracking_subgoal,200,0.4,4.09,2.56,0.085,80,818,512,17,0.7099609375,332.82421875
backtracking_subgoal,210,0.445,3.415,2.365,0.095,89,683,473,19,0.6904296875,327.6103515625
backtracking_subgoal,220,0.47,3.46,2.515,0.075,94,692,503,15,0.701171875,330.611328125
backtracking_subgoal,230,0.415,3.3,2.295,0.08,83,660,459,16,0.7060546875,332.4501953125
backtracking_subgoal,240,0.41,4.22,2.105,0.045,82,844,421,9,0.708984375,352.7724609375
backtracking_subgoal,250,0.365,4.155,0.455,0.04,73,831,91,8,0.7158203125,324.83984375
